Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
2/26/2014,1340.19,1345.24,1322.48,1330.39,-9.87,-0.74%,155588,387428
2/27/2014,1330.29,1335.8,1323.75,1331,0.61,0.05%,141472,389768
2/28/2014,1330.9,1333.24,1319.76,1327.56,-3.44,-0.26%,151347,386303
3/3/2014,1325.76,1354.62,1325.76,1350.3,22.74,1.71%,172228,395301
3/4/2014,1350.2,1352.41,1331.35,1334.22,-16.08,-1.19%,147412,393266
3/5/2014,1334.28,1341.67,1332.6,1336.56,2.34,0.18%,107439,398405
3/6/2014,1336.64,1353.32,1331.09,1350.56,14,1.05%,172800,407696
3/7/2014,1350.58,1352.67,1329.14,1339.12,-11.44,-0.85%,201134,404705
3/10/2014,1339.1,1344.52,1328.26,1339.47,0.35,0.03%,152993,412459
3/11/2014,1339.5,1352.37,1337.7,1348.67,9.2,0.69%,179172,415340
3/12/2014,1348.55,1370.63,1345.35,1366.67,18,1.33%,270209,424447
3/13/2014,1366.71,1374.84,1364.41,1369.97,3.3,0.24%,217799,422169
3/14/2014,1369.94,1387.76,1367.78,1381.66,11.69,0.85%,213476,427119
3/17/2014,1382.15,1391.76,1361.87,1366.79,-14.87,-1.08%,167955,427744
3/18/2014,1366.71,1367.39,1350.73,1355.5,-11.29,-0.83%,173894,420626
3/19/2014,1355.5,1359.55,1327.81,1329.4,-26.1,-1.93%,222016,419185
3/20/2014,1329.36,1334.52,1320.55,1327.59,-1.81,-0.14%,198633,414066
3/21/2014,1327.52,1342.22,1327.14,1333.43,5.84,0.44%,209636,407487
3/24/2014,1333.33,1334.46,1307.83,1308.58,-24.85,-1.86%,238240,401918
3/25/2014,1308.51,1317.2,1305.72,1310.81,2.23,0.17%,213630,398264
3/26/2014,1310.8,1316.16,1298.55,1304.22,-6.59,-0.50%,216703,396106
3/27/2014,1304.07,1306.68,1288.99,1291.01,-13.21,-1.01%,335523,382195
3/28/2014,1291.14,1298.6,1285.77,1293.92,2.91,0.23%,246499,365331
