Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
9/30/2010,2021.49,2029.65,1986.33,1998.04,-11.04,-0.55%,444665,426262
10/1/2010,2014.47,2017.23,1987.71,1996.6,-1.44,-0.07%,321362,430678
10/4/2010,1990.13,1997.67,1963.68,1975.33,-21.27,-1.07%,299018,440710
10/5/2010,1996.38,2026.46,1996.21,2024.63,49.3,2.50%,352402,459878
10/6/2010,2021.21,2024.92,1992.65,2006.52,-18.11,-0.89%,334934,447399
10/7/2010,2016.08,2017.44,1996.25,2011.63,5.11,0.25%,285473,438507
10/8/2010,2014.99,2030.89,1999.89,2027.03,15.4,0.77%,313949,445385
10/11/2010,2028.53,2037.12,2021.43,2026.98,-0.05,0.00%,175888,438541
10/12/2010,2023.75,2045.08,2007.13,2041.55,14.57,0.72%,319962,443019
10/13/2010,2052.5,2067.06,2048.05,2057.25,15.7,0.77%,296383,444069
10/14/2010,2058.35,2062.26,2043.7,2054.51,-2.74,-0.13%,316847,441771
10/15/2010,2078.62,2097.73,2062.84,2097.73,43.22,2.10%,374295,440697
10/18/2010,2100.21,2105.07,2091.14,2104.14,6.41,0.31%,254330,429360
10/19/2010,2063.96,2087.05,2054.61,2069.73,-34.41,-1.64%,474386,432080
10/20/2010,2075.47,2100.15,2072.54,2085.75,16.02,0.77%,289475,446170
10/21/2010,2097.17,2106.24,2069.45,2090.1,4.35,0.21%,328056,434894
10/22/2010,2089.22,2105.44,2086.88,2104.21,14.11,0.68%,207342,440184
10/25/2010,2113.23,2127.26,2112.28,2113.55,9.34,0.44%,241925,437757
10/26/2010,2100.53,2123.81,2094.84,2119.05,5.5,0.26%,255651,453896
10/27/2010,2108.11,2127.21,2104.99,2125.87,6.82,0.32%,267846,448298
10/28/2010,2135.13,2135.69,2112.09,2129.73,3.86,0.18%,306757,443159
10/29/2010,2126.76,2137.33,2124.45,2124.45,-5.28,-0.25%,232680,440978
11/1/2010,2135.57,2148.07,2117.59,2128.42,3.97,0.19%,286601,442453
11/2/2010,2146.98,2155.46,2141.62,2151.72,23.3,1.09%,227604,442944
11/3/2010,2151.19,2159.68,2132.69,2158.36,6.64,0.31%,348388,450883
11/4/2010,2183.1,2193.65,2179.06,2187.8,29.44,1.36%,324664,451753
11/5/2010,2188.32,2191.24,2179.86,2186.71,-1.09,-0.05%,324665,450194
11/8/2010,2179.7,2191.49,2176.67,2188.94,2.23,0.10%,200921,438838
11/9/2010,2195.78,2200.15,2166.96,2176.87,-12.07,-0.55%,269371,435008
